ticker,date,date_ym,date_raw,title,text,url,source_page
NKNC,2025-12-05,2025-12,05.12.25,"Ставка 15-20-го купонов по облигациям ""Нижнекамскнефтехима"" серии 001Р-01 составит 15,7% годовых","Выпуск номинальным объемом 15 млрд. рублей был размещен в 2018 году с погашением в 2028 году. Ставка полугодового купона на 14-й купонный период составляет 9,75% годовых",https://bonds.finam.ru/news/item/stavka-15-20-go-kuponov-po-obligatsiam-nizhnekamskneftekhima-serii-001r-01-sostavit-15-7-godovykh/,https://www.finam.ru/quote/moex/nknc/publications/
NKNC,2025-11-21,2025-11,21.11.25,"Чистая прибыль НКНХ по РСБУ снизилась за 9 месяцев на 41,5%","Показатель составил 15,221 млрд рублей",https://www.finam.ru/publications/item/chistaya-pribyl-nknkh-po-rsbu-snizilas-za-9-mesyatsev-na-415-20251121-1747/,https://www.finam.ru/quote/moex/nknc/publications/
NKNC,2025-11-21,2025-11,21.11.25,Совет директоров «ЛУКОЙЛа» даст рекомендации по дивидендам – основные события 21 ноября,Вступают в силу санкции США против «Роснефти» и «ЛУКОЙЛа»,https://www.finam.ru/publications/item/sovet-direktorov-lukoyla-dast-rekomendatsii-po-dividendam-osnovnye-sobytiya-21-noyabrya-20251121-0900/,https://www.finam.ru/quote/moex/nknc/publications/
NKNC,2025-11-21,2025-11,21.11.25,Совет директоров «Нижнекамскнефтехима» 21 ноября обсудит исполнение бизнес-плана,"Кроме того, на повестке - утверждение проспекта биржевых облигаций",https://www.finam.ru/publications/item/sovet-direktorov-nizhnekamskneftekhima-21-noyabrya-obsudit-ispolnenie-biznes-plana-20251121-0429/,https://www.finam.ru/quote/moex/nknc/publications/
NKNC,2025-11-11,2025-11,11.11.25,Новогоднее ралли - стоит ли ждать чудес на российском рынке,Как рынок закончит 2025 год,https://www.finam.ru/publications/item/novogodnee-ralli-stoit-li-zhdat-chudes-na-rossiyskom-rynke-20251111-1823/,https://www.finam.ru/quote/moex/nknc/publications/
NKNC,2025-09-29,2025-09,29.09.25,Низкий уровень чистого долга и мягкая дивидендная политика делают акции НКНХ интересными,В финансовой статистике эмитента в 4 квартале 2025 года начнет отражаться эффект от запуска нефтехимического комплекса ЭП-600,https://www.finam.ru/publications/item/nizkiy-uroven-chistogo-dolga-i-myagkaya-dividendnaya-politika-delayut-aktsii-nknkh-interesnymi-20250929-1435/,https://www.finam.ru/quote/moex/nknc/publications/
NKNC,2025-09-17,2025-09,17.09.25,"""Сибур"" не будет снижать минимальные дивидендные выплаты по ключевым ""дочкам""","Согласно дивполитике, на выплаты акционерам ""Казаньоргсинтеза"" должно направляться не менее 70% прибыли, по НКНХ - не менее 15%",https://www.finam.ru/publications/item/sibur-ne-budet-snizhat-minimalnye-dividendnye-vyplaty-po-klyuchevym-dochkam-20250917-1026/,https://www.finam.ru/quote/moex/nknc/publications/
NKNC,2025-08-22,2025-08,22.08.25,"Чистая прибыль «Нижнекамскнефтехима» по РСБУ за 1 полугодие 2025 года снизилась на 7,6%",Выручка в отчетном периоде увеличилась на 14%,https://www.finam.ru/publications/item/chistaya-pribyl-nizhnekamskneftekhima-po-rsbu-za-1-polugodie-2025-goda-snizilas-na-76-20250822-1456/,https://www.finam.ru/quote/moex/nknc/publications/
NKNC,2025-06-21,2025-06,21.06.25,НКНХ - история про развитие и дивиденды,Сегодня акционеры компании должны утвердить размер дивидендов,https://www.finam.ru/publications/item/nknkh-istoriya-pro-razvitie-i-dividendy-20250621-1150/,https://www.finam.ru/quote/moex/nknc/publications/
NKNC,2025-06-21,2025-06,21.06.25,ГОСА “Нижнекамскнефтехима” состоится 21 июня,"Реестр лиц, имеющих право на участие в нем, закроется 29 мая",https://www.finam.ru/publications/item/gosa-nizhnekamskneftekhima-sostoitsya-21-iyunya-20250621-0440/,https://www.finam.ru/quote/moex/nknc/publications/
